id_apolice,id_veiculo,cpf_segurado,data_inicio_vigencia,cobertura
2000,1000,CPF_38,2025-07-11,Total
2001,1001,CPF_503,2025-11-06,Terceiros
2002,1002,CPF_28,2025-05-28,Roubo/Furto
2003,1003,CPF_139,2025-08-29,Roubo/Furto
2004,1004,CPF_663,2025-08-15,Terceiros
2005,1005,CPF_886,2025-07-05,Roubo/Furto
2006,1006,CPF_839,2026-03-05,Terceiros
2007,1007,CPF_689,2025-11-19,Roubo/Furto
2008,1008,CPF_930,2025-05-03,Roubo/Furto
2009,1009,CPF_928,2025-10-25,Terceiros
2010,1010,CPF_360,2025-08-13,Roubo/Furto
2011,1011,CPF_675,2025-04-13,Total
2012,1012,CPF_58,2025-05-27,Roubo/Furto
2013,1013,CPF_874,2025-08-08,Total
2014,1014,CPF_680,2025-09-09,Roubo/Furto
2015,1015,CPF_372,2026-03-14,Roubo/Furto
2016,1016,CPF_705,2025-11-03,Terceiros
2017,1017,CPF_253,2025-04-11,Roubo/Furto
2018,1018,CPF_266,2025-05-30,Total
2019,1019,CPF_252,2025-12-15,Roubo/Furto
2020,1020,CPF_942,2025-07-30,Total
2021,1021,CPF_237,2026-03-14,Roubo/Furto
2022,1022,CPF_39,2025-10-06,Roubo/Furto
2023,1023,CPF_466,2026-02-09,Terceiros
2024,1024,CPF_100,2025-05-14,Terceiros
2025,1025,CPF_54,2026-03-25,Roubo/Furto
2026,1026,CPF_777,2025-08-02,Total
2027,1027,CPF_905,2025-11-07,Terceiros
2028,1028,CPF_168,2026-01-19,Terceiros
2029,1029,CPF_670,2025-04-13,Roubo/Furto
2030,1030,CPF_485,2025-10-12,Terceiros
2031,1031,CPF_230,2025-09-12,Roubo/Furto
2032,1032,CPF_775,2025-09-19,Roubo/Furto
2033,1033,CPF_221,2026-02-15,Total
2034,1034,CPF_877,2026-01-13,Roubo/Furto
2035,1035,CPF_941,2025-10-01,Total
2036,1036,CPF_466,2025-10-21,Total
2037,1037,CPF_836,2025-07-07,Terceiros
2038,1038,CPF_661,2025-06-20,Roubo/Furto
2039,1039,CPF_338,2025-05-10,Roubo/Furto
2040,1040,CPF_733,2025-11-20,Roubo/Furto
2041,1041,CPF_802,2025-06-15,Terceiros
2042,1042,CPF_901,2025-05-18,Terceiros
2043,1043,CPF_401,2025-11-06,Roubo/Furto
2044,1044,CPF_35,2025-10-20,Total
2045,1045,CPF_609,2025-11-25,Total
2046,1046,CPF_416,2025-12-18,Roubo/Furto
2047,1047,CPF_229,2025-11-13,Roubo/Furto
2048,1048,CPF_324,2025-12-02,Roubo/Furto
2049,1049,CPF_707,2026-02-06,Terceiros
2050,1050,CPF_723,2025-09-05,Roubo/Furto
2051,1051,CPF_247,2025-06-29,Terceiros
2052,1052,CPF_779,2025-07-26,Terceiros
2053,1053,CPF_845,2025-08-11,Total
2054,1054,CPF_364,2025-08-20,Terceiros
2055,1055,CPF_988,2025-11-09,Total
2056,1056,CPF_133,2025-11-18,Terceiros
2057,1057,CPF_957,2025-04-18,Roubo/Furto
2058,1058,CPF_361,2025-12-27,Roubo/Furto
2059,1059,CPF_592,2025-06-22,Total
2060,1060,CPF_957,2025-09-07,Roubo/Furto
2061,1061,CPF_527,2025-04-07,Terceiros
2062,1062,CPF_862,2025-10-15,Terceiros
2063,1063,CPF_884,2025-05-03,Total
2064,1064,CPF_724,2025-06-18,Total
2065,1065,CPF_875,2025-04-27,Terceiros
2066,1066,CPF_981,2025-11-29,Terceiros
2067,1067,CPF_716,2025-12-31,Roubo/Furto
2068,1068,CPF_191,2025-07-15,Terceiros
2069,1069,CPF_346,2025-12-10,Roubo/Furto
2070,1070,CPF_390,2025-11-05,Total
2071,1071,CPF_438,2025-05-06,Roubo/Furto
2072,1072,CPF_855,2026-02-18,Total
2073,1073,CPF_19,2025-08-12,Roubo/Furto
2074,1074,CPF_603,2025-08-23,Total
2075,1075,CPF_627,2025-05-26,Terceiros
2076,1076,CPF_616,2025-07-14,Total
2077,1077,CPF_585,2025-06-12,Roubo/Furto
2078,1078,CPF_784,2025-04-12,Roubo/Furto
2079,1079,CPF_209,2025-12-21,Roubo/Furto
2080,1080,CPF_630,2025-11-20,Total
2081,1081,CPF_886,2025-10-18,Total
2082,1082,CPF_405,2025-06-28,Terceiros
2083,1083,CPF_613,2025-09-11,Roubo/Furto
2084,1084,CPF_976,2025-08-12,Terceiros
2085,1085,CPF_382,2025-12-03,Total
2086,1086,CPF_757,2025-05-28,Total
2087,1087,CPF_953,2025-07-02,Terceiros
2088,1088,CPF_506,2026-01-09,Terceiros
2089,1089,CPF_317,2025-07-21,Roubo/Furto
2090,1090,CPF_385,2025-05-29,Total
2091,1091,CPF_534,2025-08-06,Terceiros
2092,1092,CPF_479,2025-12-03,Terceiros
2093,1093,CPF_652,2026-01-10,Terceiros
2094,1094,CPF_705,2025-09-28,Total
2095,1095,CPF_810,2025-10-20,Total
2096,1096,CPF_746,2025-04-17,Roubo/Furto
2097,1097,CPF_506,2025-12-07,Total
2098,1098,CPF_367,2026-04-01,Total
2099,1099,CPF_320,2026-02-12,Roubo/Furto
2100,1100,CPF_213,2026-01-24,Total
2101,1101,CPF_101,2025-05-19,Roubo/Furto
2102,1102,CPF_698,2025-11-18,Terceiros
2103,1103,CPF_5,2025-12-12,Total
2104,1104,CPF_581,2025-12-22,Total
2105,1105,CPF_164,2025-07-29,Roubo/Furto
2106,1106,CPF_702,2026-02-20,Total
2107,1107,CPF_777,2025-09-28,Terceiros
2108,1108,CPF_852,2025-04-10,Roubo/Furto
2109,1109,CPF_377,2025-12-12,Terceiros
2110,1110,CPF_327,2026-01-09,Terceiros
2111,1111,CPF_426,2026-01-31,Roubo/Furto
2112,1112,CPF_713,2026-01-22,Terceiros
